Rule	support	confidence
24, 41, 42 -> 44	2.07%	80.58%
24, 41, 42 -> 25, 44	2.07%	80.53%
24, 25, 41 -> 44	2.07%	80.49%
24, 41, 25 -> 42, 44	2.07%	80.49%
19, 36 -> 4	4.11%	77.42%
12, 38 -> 46	2.81%	76.48%
12, 38 -> 8, 46	2.79%	76.12%
1, 47 -> 3	3.34%	75.81%
8, 38 -> 46	2.81%	75.75%
17, 33 -> 46	3.28%	75.45%
8, 12 -> 46	2.81%	75.38%
24, 42 -> 44	2.09%	75.23%
25, 42 -> 44	2.09%	75.23%
8, 38 -> 12, 46	2.79%	75.22%
25, 41 -> 44	2.09%	74.98%
8, 12 -> 46, 38	2.79%	74.92%
24, 42 -> 41, 44	2.07%	74.84%
24, 42 -> 25, 44	2.07%	74.8%
24, 42 -> 41, 44, 25	2.07%	74.8%
41, 42 -> 44	2.08%	74.71%
16, 8 -> 50	2.72%	74.7%
24, 25 -> 44	2.08%	74.65%
32, 13 -> 49	2.08%	74.62%
32, 37 -> 49	2.08%	74.57%
25, 41 -> 24, 44	2.07%	74.54%
25, 41 -> 42, 44	2.07%	74.54%
41, 25 -> 24, 42, 44	2.07%	74.54%
41, 42 -> 24, 44	2.07%	74.52%
24, 25 -> 41, 44	2.07%	74.51%
24, 25 -> 42, 44	2.07%	74.51%
25, 42 -> 24, 44	2.07%	74.51%
25, 42 -> 41, 44	2.07%	74.51%
25, 42 -> 24, 41, 44	2.07%	74.51%
24, 25 -> 41, 42, 44	2.07%	74.51%
24, 41 -> 44	2.09%	74.49%
41, 42 -> 25, 44	2.07%	74.47%
41, 42 -> 24, 25, 44	2.07%	74.47%
13, 37 -> 49	2.07%	74.44%
48, 18 -> 30	2.68%	74.42%
24, 41 -> 42, 44	2.07%	74.06%
24, 41 -> 25, 44	2.07%	74.01%
24, 41 -> 25, 42, 44	2.07%	74.01%
32, 13 -> 49, 37	2.06%	73.95%
13, 37 -> 32, 49	2.06%	73.91%
32, 37 -> 49, 13	2.06%	73.8%
36 -> 19	5.31%	57.35%
19 -> 36	5.31%	56.99%
28 -> 29	5.09%	56.72%
6 -> 23	4.39%	53.4%
47 -> 1	4.4%	52.97%
4 -> 19	4.34%	52.83%
1 -> 47	4.4%	52.72%
17 -> 33	4.35%	52.45%
4 -> 36	4.3%	52.41%
34 -> 43	4.31%	52.38%
10 -> 5	4.31%	52.14%
33 -> 17	4.35%	51.8%
29 -> 28	5.09%	50.54%
45 -> 15	3.78%	50.27%
4 -> 19, 36	4.11%	50.07%
18 -> 48	3.6%	48.78%
20 -> 2	3.69%	48.62%
23 -> 6	4.39%	48.56%
12 -> 8	3.73%	48.32%
38 -> 8	3.71%	48.08%
16 -> 8	3.64%	48.0%
12 -> 38	3.67%	47.56%
38 -> 12	3.67%	47.51%
3 -> 1	3.55%	47.37%
43 -> 34	4.31%	47.01%
3 -> 47	3.52%	46.98%
5 -> 10	4.31%	46.57%
19 -> 4	4.34%	46.56%
36 -> 4	4.3%	46.48%
48 -> 18	3.6%	46.42%
15 -> 45	3.78%	44.56%
3 -> 1, 47	3.34%	44.51%
12 -> 8, 38	3.43%	44.5%
38 -> 8, 12	3.43%	44.46%
36 -> 19, 4	4.11%	44.4%
19 -> 36, 4	4.11%	44.12%
2 -> 20	3.69%	44.08%
50 -> 8	2.95%	43.39%
50 -> 16	2.95%	43.35%
1 -> 3	3.55%	42.54%
47 -> 3	3.52%	42.38%
17 -> 46	3.5%	42.24%
33 -> 46	3.54%	42.12%
30 -> 18	2.86%	42.09%
30 -> 48	2.85%	41.97%
32 -> 37	2.79%	41.45%
24 -> 41	2.8%	41.42%
32 -> 13	2.78%	41.37%
37 -> 32	2.79%	41.21%
37 -> 13	2.79%	41.15%
24 -> 25	2.78%	41.14%
42 -> 41	2.78%	41.09%
42 -> 25	2.78%	41.07%
41 -> 24	2.8%	41.05%
24 -> 42	2.77%	40.98%
42 -> 24	2.77%	40.92%
25 -> 24	2.78%	40.91%
25 -> 42	2.78%	40.91%
25 -> 41	2.78%	40.89%
13 -> 37	2.79%	40.82%
13 -> 32	2.78%	40.81%
41 -> 42	2.78%	40.8%
41 -> 25	2.78%	40.76%
12 -> 46	3.1%	40.23%
47 -> 1, 3	3.34%	40.15%
38 -> 46	3.09%	40.05%
50 -> 16, 8	2.72%	40.02%
1 -> 3, 47	3.34%	39.97%
17 -> 33, 46	3.28%	39.58%
30 -> 48, 18	2.68%	39.44%
33 -> 17, 46	3.28%	39.09%
16 -> 50	2.95%	38.84%
18 -> 30	2.86%	38.74%
24 -> 25, 41	2.58%	38.08%
24 -> 41, 42	2.57%	38.06%
42 -> 24, 41	2.57%	38.0%
24 -> 25, 42	2.57%	37.97%
42 -> 24, 25	2.57%	37.91%
32 -> 13, 37	2.55%	37.9%
25 -> 24, 41	2.58%	37.87%
42 -> 25, 41	2.56%	37.83%
24 -> 25, 42, 41	2.56%	37.79%
25 -> 24, 42	2.57%	37.76%
41 -> 24, 25	2.58%	37.75%
41 -> 24, 42	2.57%	37.73%
42 -> 24, 25, 41	2.56%	37.73%
37 -> 32, 13	2.55%	37.68%
25 -> 41, 42	2.56%	37.68%
25 -> 24, 41, 42	2.56%	37.58%
41 -> 25, 42	2.56%	37.55%
41 -> 24, 25, 42	2.56%	37.46%
13 -> 32, 37	2.55%	37.39%
49 -> 37	2.31%	37.32%
44 -> 24	2.31%	37.05%
44 -> 25	2.31%	36.95%
49 -> 32	2.29%	36.93%
44 -> 41	2.3%	36.86%
48 -> 30	2.85%	36.76%
49 -> 13	2.28%	36.76%
44 -> 42	2.29%	36.69%
12 -> 8, 46	2.81%	36.43%
38 -> 8, 46	2.81%	36.42%
12 -> 46, 38	2.81%	36.38%
38 -> 12, 46	2.81%	36.34%
18 -> 48, 30	2.68%	36.3%
12 -> 8, 46, 38	2.79%	36.2%
38 -> 8, 12, 46	2.79%	36.17%
16 -> 8, 50	2.72%	35.85%
48 -> 18, 30	2.68%	34.54%
46 -> 33	3.54%	34.45%
24 -> 44	2.31%	34.22%
37 -> 49	2.31%	34.17%
46 -> 17	3.5%	34.13%
8 -> 12	3.73%	34.11%
32 -> 49	2.29%	34.02%
8 -> 38	3.71%	33.98%
25 -> 44	2.31%	33.93%
42 -> 44	2.29%	33.83%
41 -> 44	2.3%	33.74%
49 -> 32, 37	2.08%	33.56%
49 -> 32, 13	2.08%	33.51%
44 -> 25, 42	2.09%	33.51%
49 -> 13, 37	2.07%	33.45%
44 -> 24, 41	2.09%	33.4%
13 -> 49	2.28%	33.4%
44 -> 24, 42	2.09%	33.38%
44 -> 25, 41	2.09%	33.38%
8 -> 16	3.64%	33.33%
44 -> 41, 42	2.08%	33.3%
44 -> 24, 25	2.08%	33.26%
44 -> 24, 41, 42	2.07%	33.21%
49 -> 32, 13, 37	2.06%	33.21%
44 -> 24, 25, 41	2.07%	33.19%
44 -> 24, 25, 42	2.07%	33.19%
44 -> 25, 42, 41	2.07%	33.19%
44 -> 24, 41, 42, 25	2.07%	33.19%
46 -> 17, 33	3.28%	31.97%
8 -> 12, 38	3.43%	31.42%
32 -> 49, 37	2.08%	30.91%
42 -> 25, 44	2.09%	30.9%
32 -> 49, 13	2.08%	30.87%
24 -> 41, 44	2.09%	30.85%
24 -> 42, 44	2.09%	30.83%
42 -> 24, 44	2.09%	30.78%
25 -> 42, 44	2.09%	30.78%
46 -> 8	3.16%	30.74%
37 -> 32, 49	2.08%	30.73%
24 -> 25, 44	2.08%	30.71%
42 -> 41, 44	2.08%	30.7%
24 -> 41, 42, 44	2.07%	30.67%
25 -> 41, 44	2.09%	30.66%
24 -> 25, 44, 41	2.07%	30.65%
24 -> 25, 42, 44	2.07%	30.65%
24 -> 41, 42, 44, 25	2.07%	30.65%
37 -> 49, 13	2.07%	30.63%
42 -> 24, 41, 44	2.07%	30.62%
42 -> 24, 25, 44	2.07%	30.6%
42 -> 25, 44, 41	2.07%	30.6%
42 -> 24, 41, 44, 25	2.07%	30.6%
32 -> 49, 13, 37	2.06%	30.59%
41 -> 24, 44	2.09%	30.58%
41 -> 25, 44	2.09%	30.56%
25 -> 24, 44	2.08%	30.54%
25 -> 24, 41, 44	2.07%	30.48%
25 -> 24, 42, 44	2.07%	30.48%
25 -> 41, 42, 44	2.07%	30.48%
25 -> 24, 41, 42, 44	2.07%	30.48%
41 -> 42, 44	2.08%	30.48%
13 -> 32, 49	2.08%	30.45%
37 -> 32, 49, 13	2.06%	30.41%
41 -> 24, 42, 44	2.07%	30.4%
13 -> 49, 37	2.07%	30.39%
41 -> 24, 25, 44	2.07%	30.38%
41 -> 25, 42, 44	2.07%	30.38%
41 -> 24, 25, 42, 44	2.07%	30.38%
46 -> 12	3.1%	30.22%
13 -> 32, 49, 37	2.06%	30.17%
46 -> 38	3.09%	30.12%
8 -> 46	3.16%	28.89%
46 -> 8, 38	2.81%	27.39%
46 -> 8, 12	2.81%	27.36%
46 -> 12, 38	2.81%	27.32%
46 -> 8, 12, 38	2.79%	27.19%
8 -> 50	2.95%	27.0%
8 -> 46, 38	2.81%	25.74%
8 -> 12, 46	2.81%	25.72%
8 -> 46, 12, 38	2.79%	25.56%
8 -> 16, 50	2.72%	24.9%
45 -> 43	0.57%	7.54%
50 -> 29	0.51%	7.49%
20 -> 29	0.54%	7.18%
6 -> 29	0.59%	7.15%
20 -> 43	0.53%	7.04%
34 -> 29	0.58%	7.02%
48 -> 43	0.54%	6.97%
2 -> 29	0.58%	6.92%
16 -> 29	0.52%	6.91%
20 -> 5	0.52%	6.82%
2 -> 23	0.57%	6.81%
15 -> 5	0.57%	6.77%
23 -> 29	0.61%	6.77%
45 -> 5	0.51%	6.74%
2 -> 43	0.56%	6.73%
5 -> 29	0.62%	6.69%
20 -> 10	0.51%	6.68%
10 -> 29	0.55%	6.67%
15 -> 23	0.56%	6.65%
15 -> 29	0.56%	6.65%
15 -> 28	0.56%	6.63%
2 -> 15	0.55%	6.62%
33 -> 29	0.55%	6.59%
15 -> 43	0.56%	6.59%
15 -> 2	0.55%	6.52%
6 -> 43	0.53%	6.45%
1 -> 29	0.54%	6.45%
10 -> 15	0.53%	6.41%
2 -> 19	0.54%	6.41%
10 -> 2	0.53%	6.38%
2 -> 5	0.53%	6.31%
2 -> 10	0.53%	6.31%
23 -> 5	0.57%	6.31%
23 -> 2	0.57%	6.3%
2 -> 28	0.53%	6.28%
28 -> 15	0.56%	6.27%
15 -> 10	0.53%	6.26%
10 -> 23	0.52%	6.25%
28 -> 23	0.56%	6.24%
23 -> 15	0.56%	6.24%
6 -> 15	0.51%	6.23%
10 -> 28	0.51%	6.22%
34 -> 28	0.51%	6.21%
5 -> 15	0.57%	6.2%
34 -> 6	0.51%	6.2%
6 -> 34	0.51%	6.19%
23 -> 28	0.56%	6.19%
33 -> 43	0.52%	6.19%
43 -> 45	0.57%	6.19%
6 -> 5	0.51%	6.18%
5 -> 23	0.57%	6.16%
33 -> 28	0.52%	6.16%
29 -> 5	0.62%	6.15%
43 -> 2	0.56%	6.14%
10 -> 20	0.51%	6.12%
43 -> 15	0.56%	6.1%
34 -> 15	0.5%	6.1%
47 -> 29	0.51%	6.08%
10 -> 36	0.5%	6.07%
29 -> 23	0.61%	6.07%
28 -> 5	0.55%	6.07%
15 -> 6	0.51%	6.04%
15 -> 19	0.51%	6.04%
43 -> 29	0.55%	6.01%
15 -> 34	0.5%	5.91%
43 -> 48	0.54%	5.89%
5 -> 28	0.55%	5.89%
28 -> 2	0.53%	5.85%
29 -> 6	0.59%	5.84%
43 -> 20	0.53%	5.82%
23 -> 43	0.52%	5.79%
43 -> 6	0.53%	5.79%
5 -> 19	0.54%	5.79%
28 -> 33	0.52%	5.76%
19 -> 2	0.54%	5.75%
19 -> 5	0.54%	5.75%
28 -> 43	0.52%	5.75%
29 -> 2	0.58%	5.74%
28 -> 10	0.51%	5.73%
29 -> 34	0.58%	5.73%
23 -> 10	0.52%	5.72%
43 -> 23	0.52%	5.72%
43 -> 5	0.52%	5.71%
5 -> 2	0.53%	5.7%
28 -> 34	0.51%	5.69%
43 -> 33	0.52%	5.68%
43 -> 36	0.52%	5.68%
5 -> 43	0.52%	5.64%
43 -> 28	0.52%	5.63%
19 -> 29	0.52%	5.62%
36 -> 43	0.52%	5.62%
29 -> 15	0.56%	5.6%
36 -> 5	0.52%	5.59%
5 -> 20	0.52%	5.58%
5 -> 36	0.52%	5.58%
19 -> 15	0.51%	5.5%
29 -> 33	0.55%	5.49%
36 -> 29	0.51%	5.49%
43 -> 19	0.5%	5.49%
5 -> 6	0.51%	5.48%
29 -> 10	0.55%	5.48%
5 -> 45	0.51%	5.47%
29 -> 43	0.55%	5.47%
5 -> 8	0.5%	5.44%
36 -> 10	0.5%	5.43%
29 -> 20	0.54%	5.4%
19 -> 43	0.5%	5.4%
29 -> 1	0.54%	5.35%
29 -> 16	0.52%	5.2%
29 -> 19	0.52%	5.2%
29 -> 46	0.52%	5.12%
29 -> 8	0.51%	5.07%
29 -> 50	0.51%	5.06%
29 -> 36	0.51%	5.04%
46 -> 29	0.52%	5.03%
29 -> 47	0.51%	5.02%
8 -> 29	0.51%	4.67%
8 -> 5	0.5%	4.61%
